,id,nombre,departamento,anio,idMin,idEdu,idDem,idVio
0,medellin-antioquia-2018,medellin,antioquia,2018,min1,edu1,dem359,0
1,medellin-antioquia-2014,medellin,antioquia,2014,min2,edu2,dem3254,0
2,medellin-antioquia-2012,medellin,antioquia,2012,min3,edu3,dem2317,0
3,medellin-antioquia-2019,medellin,antioquia,2019,min4,edu4,dem845,0
4,medellin-antioquia-2013,medellin,antioquia,2013,min5,edu5,dem2833,0
5,medellin-antioquia-2015,medellin,antioquia,2015,min6,edu6,dem3775,0
6,medellin-antioquia-2016,medellin,antioquia,2016,min7,edu7,dem4189,0
7,medellin-antioquia-2017,medellin,antioquia,2017,min8,edu8,dem1897,vio1
8,medellin-antioquia-2021,medellin,antioquia,2021,min9,edu9,dem1524,0
9,medellin-antioquia-2020,medellin,antioquia,2020,min10,edu10,dem1162,0
10,florida-valle del cauca-2020,florida,valle del cauca,2020,min11,edu11,dem1069,0
11,abejorral-antioquia-2013,abejorral,antioquia,2013,min12,edu12,dem2832,0
12,abejorral-antioquia-2018,abejorral,antioquia,2018,min13,edu13,dem360,0
13,abejorral-antioquia-2019,abejorral,antioquia,2019,min14,edu14,dem844,0
14,abejorral-antioquia-2020,abejorral,antioquia,2020,min15,edu15,dem1163,0
15,abejorral-antioquia-2012,abejorral,antioquia,2012,min16,edu16,dem2318,0
16,abejorral-antioquia-2014,abejorral,antioquia,2014,min17,edu17,dem3255,0
17,abejorral-antioquia-2015,abejorral,antioquia,2015,min18,edu18,dem3774,0
18,abejorral-antioquia-2016,abejorral,antioquia,2016,min19,edu19,dem4190,0
19,abejorral-antioquia-2017,abejorral,antioquia,2017,min20,edu20,dem1898,vio2
20,abriaqui-antioquia-2012,abriaqui,antioquia,2012,min21,edu21,dem2319,0
21,abriaqui-antioquia-2013,abriaqui,antioquia,2013,min22,edu22,dem2831,0
22,abriaqui-antioquia-2014,abriaqui,antioquia,2014,min23,edu23,dem3256,0
23,abriaqui-antioquia-2018,abriaqui,antioquia,2018,min24,edu24,dem361,0
24,abriaqui-antioquia-2020,abriaqui,antioquia,2020,min25,edu25,dem1164,0
25,abriaqui-antioquia-2021,abriaqui,antioquia,2021,min26,edu26,dem1523,0
26,abriaqui-antioquia-2015,abriaqui,antioquia,2015,min27,edu27,dem3773,0
27,abriaqui-antioquia-2019,abriaqui,antioquia,2019,min28,edu28,dem843,0
28,abriaqui-antioquia-2017,abriaqui,antioquia,2017,min29,edu29,dem1899,vio3
29,alejandria-antioquia-2013,alejandria,antioquia,2013,min30,edu30,dem2830,0
30,amaga-antioquia-2019,amaga,antioquia,2019,min31,edu31,dem842,0
31,amaga-antioquia-2012,amaga,antioquia,2012,min32,edu32,dem2320,0
32,amaga-antioquia-2013,amaga,antioquia,2013,min33,edu33,dem2829,0
33,amaga-antioquia-2014,amaga,antioquia,2014,min34,edu34,dem3257,0
34,amaga-antioquia-2015,amaga,antioquia,2015,min35,edu35,dem3772,0
35,amaga-antioquia-2016,amaga,antioquia,2016,min36,edu36,dem4191,0
36,amaga-antioquia-2017,amaga,antioquia,2017,min37,edu37,dem1900,vio4
37,amaga-antioquia-2018,amaga,antioquia,2018,min38,edu38,dem362,0
